tempo,pwm,periodo
264.03,179,189548
264.23,179,189080
264.45,179,200304
264.68,179,201796
264.90,179,215516
265.14,179,226780
265.36,179,189808
265.56,179,189644
265.78,179,201660
266.01,180,224896
266.22,180,213880
266.42,180,197948
266.65,180,223436
266.86,180,212792
267.06,180,187572
267.31,180,225504
267.51,180,197396
267.72,180,212556
267.92,180,187452
268.14,180,211832
268.36,180,213868
268.56,180,198364
268.77,180,212544
269.00,180,212536
269.23,180,225208
269.42,180,186424
269.67,180,224768
269.87,180,187348
270.10,180,198852
270.32,180,199108
270.55,180,199124
270.73,180,186820
270.96,180,199448
271.17,181,185220
271.36,181,184376
271.55,181,185232
271.78,181,222304
271.99,181,208612
272.21,181,211060
272.41,181,185272
272.63,181,196072
272.85,181,197052
273.04,181,184916
273.26,181,197740
273.48,181,195428
273.69,181,209640
273.89,181,195508
274.11,181,195676
274.33,181,221636
274.55,181,196124
274.77,181,196896
274.98,181,210392
275.18,181,195028
275.40,181,221452
275.63,181,221104
275.85,181,196444
276.06,182,210604
276.28,182,219948
276.48,182,183864
276.70,182,194376
276.88,182,183388
277.13,182,220168
277.31,182,183068
277.50,182,183412
277.76,182,231220
277.97,182,210148
278.17,182,183868
278.39,182,195464
278.63,182,219468
278.85,182,207996
279.07,182,208800
279.27,182,182720
279.48,182,209144
279.67,182,184024
279.89,182,220684
280.10,182,207072
280.30,182,184112
280.51,182,208244
280.73,182,209560
280.95,182,209344
281.14,183,183448
281.35,183,206620
281.57,183,205956
281.79,183,208048
281.98,183,192628
282.22,183,218492
282.42,183,182932
282.63,183,181608
282.85,183,218688
283.06,183,206772
283.28,183,206904
283.51,183,228792
283.69,183,181308
283.90,183,182468
284.06,183,145572
284.26,183,206584
284.49,183,228924
284.71,183,193420
284.93,183,193700
285.14,183,206172
285.37,183,218400
285.59,183,216772
285.80,183,192916
286.05,184,219244
286.23,184,180404
286.46,184,218072
286.67,184,214120
286.86,184,180572
287.06,184,181308
287.25,184,180532
287.47,184,192540
287.67,184,204780
287.89,184,205712
288.11,184,204512
288.30,184,181428
288.51,184,181088
288.72,184,205468
288.94,184,206400
289.13,184,191516
289.35,184,193092
289.57,184,191236
289.77,184,180488
289.97,184,191008
290.17,184,203996
290.36,184,191816
290.54,184,155556
290.79,184,216844
290.98,184,178304
291.19,185,191496
291.37,185,177912
291.59,185,189968
291.80,185,190696
292.01,185,179132
292.22,185,204104
292.44,185,202440
292.63,185,179976
292.87,185,215180
293.06,185,178400
293.27,185,190496
293.48,185,203068
293.69,185,204144
293.92,185,224932
294.12,185,178228
294.34,185,204852
294.56,185,214432
294.77,185,204560
294.98,185,204368
295.21,185,225248
295.41,185,203916
295.60,185,179308
295.82,185,191912
296.06,186,215824
296.25,186,178324
296.45,186,201960
296.68,186,213300
296.88,186,202448
297.07,186,177676
297.28,186,188904
297.50,186,189052
297.71,186,188492
297.91,186,202140
298.10,186,187588
298.30,186,178564
298.49,186,177456
298.73,186,213600
298.94,186,203568
299.13,186,187124
299.37,186,213632
299.58,186,212668
299.77,186,178384
299.98,186,178348
300.17,186,177724
300.38,186,189712
300.58,186,201848
300.80,186,202512
301.02,187,212196
301.22,187,201516
301.41,187,187060
301.62,187,211076
301.83,187,212176
302.01,187,152560
302.23,187,189476
302.44,187,187504
302.64,187,176684
302.83,187,187088
303.06,187,211756
303.25,187,186964
303.45,187,200456
303.66,187,211512
303.88,187,201632
304.06,187,176872
304.28,187,211572
304.49,187,211112
304.69,187,200660
304.88,187,176556
305.09,187,211700
305.29,187,200340
305.48,187,176796
305.68,187,200500
305.90,187,211448
306.11,188,211420
306.33,188,209456
306.56,188,234148
306.77,188,210828
306.98,188,209600
307.19,188,200296
307.42,188,211012
307.61,188,198864
307.84,188,210724
308.04,188,198892
308.25,188,201236
308.43,188,175168
308.67,188,210008
308.86,188,176340
309.07,188,186716
309.27,188,198936
309.49,188,220636
309.66,188,175472
309.87,188,186564
310.08,188,185984
310.29,188,175776
310.47,188,175724
310.68,188,211028
310.86,188,172468
311.07,189,187560
311.31,189,221116
311.52,189,208004
311.73,189,185716
311.93,189,197708
312.12,189,175056
312.33,189,185376
312.50,189,173892
312.74,189,210684
312.95,189,208748
313.13,189,174860
313.33,189,174888
313.55,189,209452
313.76,189,186112
313.96,189,197748
314.14,189,174588
314.34,189,198296
314.55,189,199784
314.74,189,184264
314.94,189,198364
315.12,189,174872
315.32,189,197552
315.51,189,185512
315.71,189,197476
315.89,189,184676
316.10,190,209064
316.31,190,208092
316.51,190,197016
316.69,190,173484
316.90,190,184948
317.11,190,184084
317.32,190,207992
317.53,190,207132
317.76,190,231652
317.97,190,208256
318.15,190,173560
318.36,190,208832
318.53,190,170740
318.73,190,173932
318.94,190,197352
319.16,190,208000
319.37,190,208040
319.58,190,183636
319.78,190,207964
319.99,190,207760
320.19,190,196576
320.37,190,174244
320.58,190,184072
320.79,190,184888
320.97,190,172492
321.16,191,173292
321.38,191,207612
321.58,191,195528
321.76,191,173032
321.96,191,172360
322.16,191,197224
322.35,191,172192
322.55,191,183652
322.76,191,183764
322.97,191,182732
323.20,191,207480
323.38,191,181616
323.58,191,173396
323.79,191,196700
324.00,191,196160
324.18,191,173456
324.38,191,172644
324.58,191,196180
324.77,191,181604
324.97,191,183828
325.17,191,195500
325.34,191,171800
325.53,191,173200
325.72,191,195428
325.94,191,217488
326.14,192,195220
326.34,192,196920
326.55,192,195324
326.73,192,180852
326.93,192,173248
327.14,192,206084
327.37,192,229216
327.58,192,205528
327.75,192,170244
327.97,192,206348
328.20,192,205764
328.38,192,181388
328.58,192,194516
328.79,192,215380
329.00,192,182816
329.19,192,194368
329.37,192,171376
329.58,192,205172
329.79,192,206120
329.98,192,194380
330.19,192,195432
330.37,192,181912
330.57,192,171112
330.79,192,207420
330.99,192,203956
331.19,193,194432
331.37,193,180788
331.56,193,193232
331.78,193,205540
331.97,193,193360
332.19,193,215428
332.38,193,194204
332.59,193,194100
332.79,193,194640
333.00,193,203996
333.18,193,180780
333.38,193,203768
333.59,193,204204
333.78,193,194624
333.97,193,171044
334.17,193,204000
334.37,193,203144
334.57,193,195184
334.77,193,194348
334.98,193,203504
335.20,193,215236
335.40,193,204176
335.61,193,181744
335.81,193,181640
336.01,194,170360
336.21,194,204700
336.41,194,193600
336.62,194,194920
336.80,194,179596
337.04,194,214324
337.24,194,203764
337.43,194,192076
337.61,194,169500
337.81,194,192392
338.01,194,193892
338.19,194,169904
338.40,194,203244
338.59,194,193128
338.81,194,203848
339.01,194,203480
339.24,194,204772
339.42,194,170248
339.62,194,180552
339.82,194,192960
340.02,194,195112
340.20,194,179012
340.40,194,192888
340.60,194,194284
340.80,194,193256
341.02,195,205204
341.21,195,190492
341.42,195,203640
341.63,195,202664
341.82,195,191444
342.00,195,169624
342.19,195,169200
342.41,195,203840
342.64,195,204248
342.80,195,167752
342.98,195,170180
343.21,195,203412
343.39,195,170592
343.60,195,180008
343.82,195,225888
344.03,195,203440
344.21,195,179292
344.43,195,203668
344.61,195,179040
344.82,195,179716
345.02,195,180444
345.25,195,203452
345.46,195,204684
345.65,195,192184
345.86,195,201860
346.06,196,203184
346.23,196,168308
346.43,196,191852
346.61,196,177704
346.80,196,169588
347.01,196,191912
347.21,196,191596
347.39,196,169452
347.58,196,168708
347.80,196,203896
348.00,196,178368
348.20,196,179980
348.40,196,180296
348.63,196,202428
348.81,196,178704
349.01,196,179480
349.25,196,212796
349.45,196,202280
349.65,196,201712
349.84,196,191612
350.05,196,192820
350.25,196,191856
350.45,196,202448
350.66,196,201624
350.87,196,202808
351.04,197,167728
351.24,197,178196
351.47,197,212744
351.67,197,190488
351.87,197,201112
352.05,197,177264
352.25,197,178164
352.45,197,200744
352.65,197,200248
352.85,197,178704
353.04,197,190216
353.25,197,191880
353.45,197,201360
353.63,197,168004
353.83,197,201200
354.05,197,201740
354.23,197,178444
354.47,197,212868
354.67,197,200544
354.87,197,179316
355.06,197,167956
355.27,197,191948
355.44,197,168900
355.65,197,178144
355.85,197,201248
356.05,198,177648
356.25,198,178628
356.45,198,178328
356.65,198,177220
356.86,198,200880
357.02,198,167152
357.26,198,211916
357.46,198,200492
357.68,198,200356
357.86,198,177604
358.06,198,177360
358.23,198,167872
358.42,198,167564
358.63,198,200968
358.83,198,178428
359.02,198,189520
359.24,198,201904
359.44,198,198280
359.63,198,190524
359.83,198,200348
360.01,198,176588
360.20,198,190308
360.38,198,176672
360.57,198,189800
360.80,198,223292
360.98,198,176600
361.18,199,200060
361.40,199,221768
361.57,199,166424
361.75,199,166328
361.98,199,210044
362.18,199,199876
362.38,199,177372
362.58,199,178504
362.77,199,166288
362.95,199,167456
363.15,199,177264
363.35,199,199052
363.51,199,166444
363.72,199,177648
363.94,199,200512
364.14,199,199088
364.32,199,176468
364.52,199,177800
364.74,199,200116
364.92,199,176428
365.11,199,166624
365.34,199,222984
365.52,199,176748
365.72,199,176992
365.92,199,200608
366.12,200,176708
366.28,200,165580
366.48,200,176372
366.68,200,198676
366.88,200,176892
367.08,200,176048
367.28,200,198448
367.50,200,199868
367.67,200,164372
367.88,200,199148
368.08,200,197656
368.30,200,199420
368.50,200,198976
368.70,200,188244
368.87,200,166076
369.04,200,143072
369.23,200,187372
369.44,200,197632
369.60,200,165792
369.80,200,176228
370.02,200,221416
370.20,200,175448
370.40,200,175784
370.59,200,166156
370.79,200,188928
370.99,200,188600
371.19,201,189164
371.36,201,164984
371.53,201,164544
371.69,201,142408
371.91,201,220624
372.09,201,174344
372.29,201,175120
372.51,201,198932
372.71,201,188364
372.90,201,188864
373.08,201,174536
373.28,201,175260
373.47,201,166128
373.64,201,165164
373.83,201,187896
374.01,201,165284
374.20,201,187888
374.37,201,174612
374.57,201,175388
374.79,201,198760
374.97,201,164944
375.16,201,198108
375.36,201,196788
375.55,201,188040
375.72,201,155104
375.92,201,198320
376.12,202,198028
376.32,202,174976
376.51,202,186596
376.71,202,186324
376.88,202,165184
377.07,202,186340
377.30,202,220816
377.48,202,174552
377.66,202,186236
377.87,202,198260
378.07,202,175112
378.27,202,196872
378.46,202,196736
378.66,202,195768
378.86,202,198184
379.06,202,196276
379.25,202,174100
379.45,202,174908
379.64,202,186332
379.85,202,197676
380.04,202,196448
380.23,202,185944
380.41,202,174752
